ID,Name,Employer,Salary From,Salary To,City,URL
112959484,Специалист по AI,Ушакова Валерия Вячеславовна,,,Москва,https://hh.ru/vacancy/112959484
114937393,Маркетолог/Бренд-менеджер,Кофейная компания,150000,200000,Москва,https://hh.ru/vacancy/114937393
114966526,Графический дизайнер,Бренд агентство HEYDAYLAB,,,Москва,https://hh.ru/vacancy/114966526
115105333,Ведущий системный администратор,ГАСЗНАК,80000,120000,Пермь,https://hh.ru/vacancy/115105333
115083824,IT Recruiter,Botan Investments,,,Санкт-Петербург,https://hh.ru/vacancy/115083824
113709947,2D Artist,Azur Games,,,Москва,https://hh.ru/vacancy/113709947
115122681,Growth product manager (Т-Мобайл),Т-Банк,,,Москва,https://hh.ru/vacancy/115122681
115051291,"Специалист поддержки пользователей (Telegram, Help Desk)",Affilyx (ООО Здоровье Онлайн),,25000,Санкт-Петербург,https://hh.ru/vacancy/115051291
110333444,Коммерческий директор в IT-компанию,Томору,,,Москва,https://hh.ru/vacancy/110333444
112307732,Data Scientist,Hoff Tech,,,Москва,https://hh.ru/vacancy/112307732
115051274,HR Generalist (Стартап),Affilyx (ООО Здоровье Онлайн),,120000,Санкт-Петербург,https://hh.ru/vacancy/115051274
115063926,Marketing Manager,Pandaverse OÜ,,,Санкт-Петербург,https://hh.ru/vacancy/115063926
114826416,Директор по цифровизации,Торгово-производственная Компания,,,Москва,https://hh.ru/vacancy/114826416
115072978,"Ведущий HR-рекрутер (IT, Education)",WebGears Services,1000,3000,Москва,https://hh.ru/vacancy/115072978
115067255,Менеджер по закрытию сделок (Contract Closer),Оскола Михаил Витальевич,2000,3500,Москва,https://hh.ru/vacancy/115067255
115067467,Middle+/Senior Frontend Developer в Alpha DEX (crypto),Гостищев Александр Александрович,3000,,Москва,https://hh.ru/vacancy/115067467
114953462,Инженер Manual QA,WMT,,,Санкт-Петербург,https://hh.ru/vacancy/114953462
115065188,Программист Unity (C#),Креобит,30000,60000,Калининград,https://hh.ru/vacancy/115065188
115067026,Интернет-маркетолог в IT-компанию,Affilyx (ООО Здоровье Онлайн),150000,,Санкт-Петербург,https://hh.ru/vacancy/115067026
114078053,AI-тренер,Туту.ру,,,Москва,https://hh.ru/vacancy/114078053
114811295,Менеджер чат-поддержки (удаленно),Профиланс Групп,30000,,Калининград,https://hh.ru/vacancy/114811295
115024221,Менеджер консьерж-сервиса,Шулькина Екатерина,100000,,Москва,https://hh.ru/vacancy/115024221
115040838,Руководитель отдела маркетинга и рекламы,Баранов Александр,175000,,Москва,https://hh.ru/vacancy/115040838
111037337,Оператор станков с ЧПУ,АЛ5,140000,,Челябинск,https://hh.ru/vacancy/111037337
115051405,Product Owner,ЛИЦА,250000,,Москва,https://hh.ru/vacancy/115051405
99069362,Ученик (Project manager),QSOFT,,,Москва,https://hh.ru/vacancy/99069362
113714495,Графический дизайнер,Вектор-Баттери,80000,,Нижний Новгород,https://hh.ru/vacancy/113714495
115049368,Креативный директор / Продюсер контента,Бьюти Сервис,,,Москва,https://hh.ru/vacancy/115049368
107769475,Младший программист(маркировка),Первый Бит,50000,,Москва,https://hh.ru/vacancy/107769475
112867115,Копирайтер,Ботхаб,30000,,Санкт-Петербург,https://hh.ru/vacancy/112867115
115116629,Senior Python developer,Топассистент,3500,,Москва,https://hh.ru/vacancy/115116629
112403154,Специалист по работе с текстом,АБК,31300,,Курск,https://hh.ru/vacancy/112403154
114964414,Frontend-разработчик,WMT,,,Казань,https://hh.ru/vacancy/114964414
113792294,Customer Success Manager,SquareFi,,250000,Москва,https://hh.ru/vacancy/113792294
114690795,Менеджер внедрения ИИ проектов,target ai,,,Москва,https://hh.ru/vacancy/114690795
115083823,IT Recruiter,Botan Investments,,,Москва,https://hh.ru/vacancy/115083823
103644845,Стажер (ученик) на курс backend-разработки (PHP),QSOFT,,,Москва,https://hh.ru/vacancy/103644845
115034044,Монтажёр/ Контент-креатор,Vertical Choice LTD,600,900,Москва,https://hh.ru/vacancy/115034044
115050791,Специалист по AI для маркетплейсов,Халилов Дамир Нариманович,,,Москва,https://hh.ru/vacancy/115050791
114965760,Графический дизайнер,SVOBODA GROUP,80000,80000,Санкт-Петербург,https://hh.ru/vacancy/114965760
